speed,i_2,i_3
2.6446,0.0,45.62
2.7238,0.2,45.42
2.802,0.4,45.22
2.8775,0.6,45.02
2.9488,0.8,44.82
3.0145,1.0,44.62
3.0737,1.2,44.42
3.1255,1.4,44.22
3.1692,1.6,44.02
3.2042,1.8,43.82
3.2301,2.0,43.62
3.2466,2.2,43.42
3.2534,2.4,43.22
3.2505,2.6,43.02
3.2379,2.8,42.82
3.2157,3.0,42.62
3.1842,3.2,42.42
3.1436,3.4,42.22
3.0945,3.6,42.02
3.0373,3.8,41.82
2.9729,4.0,41.62
2.9018,4.2,41.42
2.8252,4.4,41.22
2.7442,4.6,41.02
2.6604,4.8,40.82
2.5765,5.0,40.62
2.4978,5.2,40.42
2.4382,5.4,40.22
2.4267,5.6,40.02
2.4687,5.8,39.82
2.5359,6.0,39.62
2.612,6.2,39.42
2.6908,6.4,39.22
2.7697,6.6,39.02
2.8465,6.8,38.82
2.9197,7.0,38.62
2.9879,7.2,38.42
3.05,7.4,38.22
3.1049,7.6,38.02
3.1521,7.8,37.82
3.1908,8.0,37.62
3.2205,8.2,37.42
3.2409,8.4,37.22
3.2518,8.6,37.02
3.2529,8.8,36.82
3.2443,9.0,36.62
3.2261,9.2,36.42
3.1984,9.4,36.22
3.1615,9.6,36.02
3.1159,9.8,35.82
3.062,10.0,35.62
